eventID,specieCode,cellCount,country,Region,dataType,yearIni,yearEnd,eventData,DATA_SOURCES,pathway,"DOI, ISBN, ISSN",bibliographicCitation
PACAL0022,"CAPCAP, RUPRUP, SUSSCR",22,AL,,POINT OCCURRENCES,na,na,na,Biodiversity National Network of Albania (BioNNA),https://natureconservation.pensoft.net/articles.php?id=22387,https://doi.org/10.3897/natureconservation.25.22387,"Pacifici M, Attorre F, Martellos S, Bego F, De Sanctis M, Hoda P, Meço M, Rondinini C, Saçdanaku E, Salihaj E, Scepi E, Shuka L, Ghiurghi A (2018) BioNNA: the Biodiversity National Network of Albania. Nature Conservation 25: 77-88."
GJIAL0100,RUPRUP,100,AL,,SP RANGE,na,na,na,Status Survey and Conservation Action Plan for Caprinae - Wild Sheep and Goats and their Relatives,https://portals.iucn.org/library/node/7163,978-2-8317-0353-4 ,"Gjiknuri, L. (1997). Albania. In D. M. Shackleton (Ed.), Wild sheep and goats and their relatives: Status survey and conservation action plan (pp. 79-89). IUCN/SSC Caprinae Specialist Group. IUCN, Gland, Switzerland and Cambridge, UK."
APOAT2505,"CAPIBE,CERELA,RUPRUP,SUSSCR",2505,AT,,HUNT_STATS,na,2003,2003,European Ungulates and their management in the 21st century,na,978-0-521-76061-4,"Reimoser, F., & Reimoser, S. (2010). Austria. In M. Apollonio, R. Andersen, & R. Putman (Eds.), European ungulates and their management in the 21st century (pp. 338-356). Cambridge University Press."
GOSAT0523,RUPRUP,523,AT,,HUNT_STATS,na,na,na,Austria. In Status Survey and Conservation Action Plan for Caprinae - Wild Sheep and Goats and their Relatives,na,978-2-8317-0353-4,"Gossow, H. and Zeiler, H. (1997). Austria. In Status Survey and Conservation Action Plan for Caprinae - Wild Sheep and Goats and their Relatives: 80-85. Shakleton, D. M.(Ed.): IUCN Gland, Switzerland and Cambridge, UK."
VERBE0519,"CAPCAP, CERELA, SUSSCR",519,BE,,ATLAS,1987,2002,1987-2002,Zoogdieren in Vlaanderen. Ecologie en verspreiding van 1987 tot 2002,https://lib.ugent.be/catalog/rug01:000853747,9077507019,"Verkem, S., De Maeseneer, J., Vandendriessche, B., Verbeylen, G., & Yskout, S. (2003). Zoogdieren in Vlaanderen: ecologie en verspreiding van 1987 tot 2002. Natuurpunt Studie/JNM-Zoogdierenwerkgroep, Mechelen/Gent, Belgium."
SMABU3318,"CAPCAP, CERELA, SUSSCR, RUPRUP",3318,BU,,POINT OCURRENCES,na,2018,2018,SmartBirds,https://smartbirds.org/monitoring/public/mammals,NA,"SmartBirds. (n.d.). SmartBirds. Retrieved May 31, 2024, from https://smartbirds.org/"
GOLBU1243,RUPRUP,51,BU,,POINT OCCURRENCES,na,na,na,Red Data Book of Bulgaria,http://e-ecodb.bas.bg/rdb/en/vol2/Rurupica.html#map,978-954-9746-22-8,"Golemanski, V., Beron, P., Popov, A., Popov, V., Beshkov, V., Zhivkov, M. & Delchev, C. (2015). Red data book of the Republic of Bulgaria. Vol. 2. Animals. BAS & MOEW, Sofia, Bulgaria."
GEICHTH0015,SUSSCR,15,CH,TH,SP RANGE,1996,1997,1996-1997,Das Wildschwein (Sus scrofa) im Kanton Thurgau (Schweiz),https://pascal-francis.inist.fr/vibad/index.php?action=getRecordDetail&idt=1767346,NA,"Geisser, H. (2000). Das Wildschein (Sus scrofa) im Kanton Thurgau (Schweiz): Analyse der Populationsdynamik, der Habitatansprüche und der Feldschäden in einem anthropogen beeinflussten Lebensraum."
LEPCH1998,"CAPCAP, CAPIBE, CERELA, RUPRUP, SUSSCR",1998,CH,,ATLAS,1980,2018,1980-2018,Swiss Wildlife Mapping Center (CSCF) - info fauna,,NA,"Lepus.infofauna.ch. (n.d.). Species distribution map. Retrieved 23 july 2018,"
GIACH0395,RUPRUP,395,CH,,SP RANGE,na,na,na,Status Survey and Conservation Action Plan for Caprinae - Wild Sheep and Goats and their Relatives,https://www.kora.ch/malme/06_map-centre/6_2_distribution-herbivores/chamois/switzerland/Giacometti_1997_Status_and_conservation_of_Caprinae_in_Switzerland_-_chamois_distribution.htm,978-2-8317-0353-4,"Giacometti, M. (1997). Switzerland. In D. M. Shackleton (Ed.), Wild sheep and goats and their relatives: Status survey and conservation action plan (pp. [page numbers]). IUCN/SSC Caprinae Specialist Group. IUCN, Gland, Switzerland and Cambridge, UK."
ROMCZ0783,"CERELA, ALCALC",783,CZ,,ABUNDANCE,2005,2009,2005-2009,Current distribution and habitat preferences of red deer and eurasian elk in the Czech Republic,https://ejes.cz/index.php/ejes/article/view/298,https://doi.org/10.14712/23361964.2017.5,"Romportl, D., Bláhová, A., Andreas, M., Chumanová, E., Anděra, M., & Červený, J. (2017). Current distribution and habitat preferences of red deer and Eurasian elk in the Czech Republic. European journal of environmental sciences, 7(1)."
BARCZ0878,"RUPRUP, SUSSCR",878,CZ,,ATLAS,na,2003,,European Ungulates and their management in the 21st century;  Encyklopedie myslivosti ,,,"Bartoš, L., Kotrba, R., & Pintíř, J. (2010). Ungulates and their management in the Czech Republic. In M. Apollonio, R. Andersen, & R. Putman (Eds.), European ungulates and their management in the 21st century (pp. 243-261). Cambridge University Press.; Červený, J. (2003). Legislativa. In J. Červený, J. Kamler, H. Kholová, P. Koubek, & N. Martínková (Eds.), Encyklopedie myslivosti (pp. 61-73). Ottovo Nakladatelství."
