ID,Country,eventId,BaseName
1,Albania,PACAL0022,AL_M_CAPCAP.shp
2,Albania,GJIAL0100,AL_M_RANGE_RUPRUP.shp
3,Albania,PACAL0022,AL_M_RUPRUP.shp
4,Albania,PACAL0022,AL_M_SUSSCR.shp
5,Austria,REIAT2505,AT_M_CAPIBE.shp
6,Austria,REIAT2505,AT_M_CERELA.shp
7,Austria,REIAT2505,AT_M_RUPRUP.shp
8,Austria,GOSAT0523,AT_M_HUNTS_RUPRUP.shp
9,Austria,REIAT2505,AT_M_SUSSCR.shp
10,Belgium,VERBE0519,M_CAPCAP.shp
11,Belgium,VERBE0519,M_CERELA.shp
12,Belgium,VERBE0519,M_SUSSCR.shp
13,Bulgaria,SMABU3318,M_CAPCAP.shp
14,Bulgaria,SMABU3318,M_CERELA.shp
15,Bulgaria,SMABU3318,M_RUPRUP.shp
16,Bulgaria,GOLBU1243,M_RB_RUPRUP.shp
17,Bulgaria,SMABU3318,M_SUSSCR.shp
18,Czech_Republic,ROMCZ0783,M_ALCALC.shp
19,Czech_Republic,ROMCZ0783,M_CERELA.shp
20,Czech_Republic,BARCZ0878,M_RUPRUP.shp
21,Czech_Republic,BARCZ0878,M_SUSSCR.shp
22,Denemark,GBIFDK667,M_CAPCAP.shp
23,Denemark,GBIFDK667,M_CERELA.shp
24,Denemark,GBIFDK667,M_SUSSCR.shp
77,Espana ,PALES8441,M_ES_UNG_CAPCAP.shp
78,Espana ,PALES8441,M_ES_3035_CAPCAP.shp
79,Espana ,PALES8441,M_ES_3035_CERELA.shp
80,Espana ,PALES8441,M_ES_3035_RUPPYR.shp
81,Espana ,PALES8441,M_ES_3035_SUSSCR.shp
82,Espana ,PALES8441,M_ES_3035_CAPPYR.shp
83,Espana ,ACEES2654,M_DEL_CAPPYR.shp
84,Espana ,ACEES2654,M_DEL_RUPPYR.shp
85,Espana ,ACEES2654,M_DEL_CERELA.shp
86,Espana ,PALES7494,M_ES_UNG_CERELA.shp
87,Espana ,PALES7494,M_ES_UNG_SUSSCR.shp
88,Espana ,PALES7494,M_ES_UNG_RUPPYR.shp
89,Espana ,PALES7494,M_ES_UNG_CAPCAP.shp
90,Espana ,EMMES4916,M_ES_CAPPYR.shp
91,Espana ,EMMES4916,M_ES_RUPPYR.shp
92,Espana ,EMMES4916,M_ES_SUSSCR.shp
93,Estonia,GBIFEE1485,M_ALCALC.shp
94,Estonia,GBIFEE1485,M_CAPCAP.shp
95,Estonia,GBIFEE1485,M_CERELA.shp
96,Estonia,GBIFEE1485,M_SUSSCR.shp
97,Finland,LAVFI2802,FI_M_STAT_ALCALC.shp
98,Finland,FINFI0846,FI_M_BIF_ALCALC.shp
99,Finland,FINFI0846,FI_M_BIF_CAPCAP.shp
100,Finland,FINFI0846,FI_M_BIF_SUSSCR.shp
101,Finland,MINFI0222,FI_M_RANTAR.shp
102,Finland,RUUFI2213,FI_M_CAPCAP.shp
103,Finland,EMMFI0376,FI_M_ALCALC.shp
